kappa0,p,a23_r,a23_i,a13,eps_cp,cabibbo,beta_mass,mass_amp,K1_오,K2_미,K3_신,K4_유,K5_술,K6_해,m1,m2,m3,m2_m1,m3_m2,m3_m1,hierarchy_depth
0.42,3.25,0.42,0.16,0.28,0.015,0.23,8,4.953063926064106,0.0012423893693677517,0.011819666221246992,0.04414706180082001,0.112448249338114,0.2322256786607836,0.42,4.9868159146662026e-05,0.9999999999975853,20052.875765054894,20052.875765006484,20052.875765103316,402117826.4487261,8.604353326414788
0.42,0.75,0.42,0.16,0.28,0.015,0.23,6,4.899066127034699,0.10955592060513011,0.18425036181334892,0.24973349415057142,0.30987093751609,0.36632229878723693,0.42,5.555526571236187e-05,1.0000000000004596,18000.093909684696,18000.093909692972,18000.093909676423,324003380.7574681,8.51054954180122
0.42,3.5,0.42,0.16,0.28,0.015,0.23,8,4.857668091526127,0.0007938161203464001,0.008981004187394177,0.037123106012293745,0.10160846340433921,0.22187835084121313,0.42,6.0350810347128094e-05,0.9999999999999956,16569.785794890933,16569.785794890864,16569.785794891006,274557801.2885694,8.43863378826919
0.42,3.75,0.42,0.16,0.28,0.015,0.23,8,4.769383579453204,0.0005072033361348615,0.006824087474568478,0.031216686768821427,0.0918136111158785,0.21199207105742882,0.42,7.200556437801536e-05,1.000000000000156,13887.815596447435,13887.81559644958,13887.815596445267,192871422.0409283,8.285267882546023
0.42,1.0,0.42,0.16,0.28,0.015,0.23,6,4.725,0.06999999999999999,0.13999999999999999,0.21,0.27999999999999997,0.35,0.42,7.86895652717947e-05,1.0000000000004312,12708.165263666015,12708.165263671483,12708.165263660534,161497464.36864737,8.20816570797146
0.42,4.0,0.42,0.16,0.28,0.015,0.23,8,4.687537037037037,0.000324074074074074,0.005185185185185184,0.02625,0.08296296296296295,0.20254629629629634,0.42,8.481195264692037e-05,1.000000000000501,11790.79090612485,11790.790906130755,11790.790906118944,139022750.19195643,8.143085875609218
0.42,1.25,0.42,0.16,0.28,0.015,0.23,6,4.567403286125486,0.044726017297239073,0.10637699599122294,0.17658824720328004,0.2530085610107565,0.33440497727152835,0.42,0.00010784596787428236,1.000000000000236,9272.483892635799,9272.483892637978,9272.48389263361,85978957.53919025,7.934392175164311
0.42,1.5,0.42,0.16,0.28,0.015,0.23,6,4.424359716768766,0.028577380332470412,0.08082903768654759,0.14849242404917498,0.2286190426597633,0.31950482521134693,0.42,0.00014356546373160055,1.0000000000000397,6965.463517531815,6965.463517532088,6965.463517531539,48517682.01406666,7.685900043790838
0.42,1.75,0.42,0.16,0.28,0.015,0.23,6,4.294206880071389,0.018259320100855018,0.061416787271116303,0.12486674707528571,0.20658062501072666,0.30526858232269743,0.42,0.00018625129268412627,1.0000000000000007,5369.090252146357,5369.090252146358,5369.090252146353,28827130.135693017,7.4598014086639335
0.42,2.0,0.42,0.16,0.28,0.015,0.23,6,4.1755,0.011666666666666665,0.04666666666666666,0.105,0.18666666666666665,0.2916666666666667,0.42,0.00023616024006908146,0.9999999999999771,4234.413039669511,4234.413039669411,4234.413039669607,17930253.790523175,7.253586436748113
0.42,2.25,0.42,0.16,0.28,0.015,0.23,6,4.066981109869495,0.00745433621620651,0.03545899866374098,0.08829412360164002,0.168672374007171,0.27867081439294034,0.42,0.00029340336605562106,0.9999999999998594,3408.277190011611,3408.277190011131,3408.2771900120897,11616353.40395344,7.065069816084338
