we,wnu,ae,anu,theta12,theta23,theta13,J,absJ,unitarity_defect,gap_e,gap_nu,loss
12,10,0.04000000000000001,-0.060000000000000005,28.099509440156062,52.700371026628666,11.39776114159259,-0.015367965540898875,0.015367965540898875,8.976686965309748e-16,1.025103096277117,1.0665281428175768,27.552825441469242
-12,-10,0.04000000000000001,-0.060000000000000005,28.099509440156062,52.700371026628666,11.39776114159259,0.015367965540898875,0.015367965540898875,8.976686965309748e-16,1.025103096277117,1.0665281428175768,27.552825441469242
12,10,0.04000000000000001,-0.08,33.703241239165486,53.152293408626946,11.528816482051282,-0.011196749411377563,0.011196749411377563,1.824704822116896e-15,1.025103096277117,1.0647288003033644,27.818553162731522
-12,-10,0.04000000000000001,-0.08,33.703241239165486,53.152293408626946,11.528816482051282,0.011196749411377563,0.011196749411377563,1.824704822116896e-15,1.025103096277117,1.0647288003033644,27.818553162731522
-10,8,-0.060000000000000005,-0.060000000000000005,31.884031428942823,38.163015586337565,6.092892455088023,0.017757109365954656,0.017757109365954656,1.0055891394105836e-15,1.0665281428175768,1.1787129439576514,28.39072145406083
10,-8,-0.060000000000000005,-0.060000000000000005,31.884031428942823,38.163015586337565,6.092892455088023,-0.017757109365954656,0.017757109365954656,1.0055891394105836e-15,1.0665281428175768,1.1787129439576514,28.39072145406083
-10,12,-0.1,-0.1,43.5741675048948,54.639805635173694,8.442965996832067,-0.031897183949520354,0.031897183949520354,6.369211527046022e-16,1.0635732977383383,1.087375865468829,28.979841054383215
10,-12,-0.1,-0.1,43.5741675048948,54.639805635173694,8.442965996832067,0.031897183949520354,0.031897183949520354,6.369211527046022e-16,1.0635732977383383,1.087375865468829,28.979841054383215
-8,-10,-0.08,-0.04000000000000001,41.504361220140666,48.53553472219374,11.798219172821346,0.04202414958103837,0.04202414958103837,8.801084978792772e-16,1.1739175387917256,1.0690771009086155,30.74827961574321
8,10,-0.08,-0.04000000000000001,41.504361220140666,48.53553472219374,11.798219172821346,-0.04202414958103837,0.04202414958103837,8.801084978792772e-16,1.1739175387917256,1.0690771009086155,30.74827961574321
-8,-6,0.0,0.01999999999999999,42.09353780736219,52.22681608494972,11.443661671310265,0.023666786370764987,0.023666786370764987,1.3988369538646852e-15,1.1772209291938167,3.0203916698936415,30.77451581287276
8,6,0.0,0.01999999999999999,42.09353780736219,52.22681608494972,11.443661671310265,-0.023666786370764987,0.023666786370764987,1.3988369538646852e-15,1.1772209291938167,3.0203916698936415,30.77451581287276
10,-12,0.04000000000000001,-0.08,34.00267856637096,56.20259917890244,12.947646663997503,0.04559140244974198,0.04559140244974198,1.6928981445644422e-15,1.085691128904503,1.0719850965045037,32.08047929136883
-10,12,0.04000000000000001,-0.08,34.00267856637096,56.20259917890244,12.947646663997503,-0.04559140244974198,0.04559140244974198,1.6928981445644422e-15,1.085691128904503,1.0719850965045037,32.08047929136883
8,-12,0.0,-0.08,38.17317885234416,56.58012385953194,9.417569061778087,-0.008880877197982504,0.008880877197982504,1.491075431029889e-15,1.1772209291938167,1.0719850965045037,33.7506755232806
-8,12,0.0,-0.08,38.17317885234416,56.58012385953194,9.417569061778087,0.008880877197982504,0.008880877197982504,1.491075431029889e-15,1.1772209291938167,1.0719850965045037,33.7506755232806
-12,-10,0.1,-0.1,34.07718310230931,53.39498206579123,12.965741943727648,-0.014235232366491345,0.014235232366491345,1.8432920571325538e-15,1.0436355298146363,1.0635732977383383,34.002845967695
12,10,0.1,-0.1,34.07718310230931,53.39498206579123,12.965741943727648,0.014235232366491345,0.014235232366491345,1.8432920571325538e-15,1.0436355298146363,1.0635732977383383,34.002845967695
12,10,0.07999999999999999,-0.08,30.43458282395797,52.40852909555714,6.741176946955283,0.005636008709993135,0.005636008709993135,7.596742116431459e-16,1.039106764979826,1.0647288003033644,34.5489793246686
