beta_u,beta_d,theta12,theta23,theta13,J,absJ,Hu,Hd,L12,L23,L13,LJ,LOSS
3.1,1.0,0.0,7.160320979977734e-15,0.0,-0.0,0.0,3.923009583078309,1.2654869622833256,170.0416,5.664399999999966,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.05,0.0,8.222715239322352e-15,0.0,-0.0,0.0,3.923009583078309,1.328761310397492,170.0416,5.66439999999996,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.1,0.0,7.02462518272437e-15,0.0,-0.0,0.0,3.923009583078309,1.3920356585116584,170.0416,5.664399999999966,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.15,0.0,1.9087468986755147e-14,0.0,-0.0,0.0,3.923009583078309,1.4553100066258247,170.0416,5.664399999999908,0.040401000000000006,649.0837074276884,824.8301084276883
3.1,1.2,0.0,6.361109362927032e-15,0.0,0.0,0.0,3.923009583078309,1.5185843547399906,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.25,0.0,6.213412199094292e-15,0.0,0.0,0.0,3.923009583078309,1.581858702854157,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.3,0.0,7.0337012949620026e-15,0.0,-0.0,0.0,3.923009583078309,1.6451330509683235,170.0416,5.664399999999966,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.35,0.0,7.08271768735666e-15,0.0,0.0,0.0,3.923009583078309,1.7084073990824897,170.0416,5.664399999999966,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.4,0.0,8.995967132789888e-15,0.0,-0.0,0.0,3.923009583078309,1.771681747196656,170.0416,5.664399999999957,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.45,0.0,6.556881449863406e-15,0.0,-0.0,0.0,3.923009583078309,1.8349560953108224,170.0416,5.664399999999968,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.5,0.0,9.14409470920761e-15,0.0,-0.0,0.0,3.923009583078309,1.8982304434249886,170.0416,5.664399999999955,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.55,0.0,5.3339523554307096e-15,0.0,-0.0,0.0,3.923009583078309,1.9615047915391548,170.0416,5.664399999999974,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.6,0.0,8.212582775056724e-15,0.0,-0.0,0.0,3.923009583078309,2.024779139653321,170.0416,5.6643999999999615,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.65,0.0,1.1131941385122309e-14,0.0,-0.0,0.0,3.923009583078309,2.0880534877674872,170.0416,5.664399999999946,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.7000000000000002,0.0,9.970988199709146e-15,0.0,-0.0,0.0,3.923009583078309,2.151327835881654,170.0416,5.664399999999953,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.75,0.0,1.0182743384679777e-14,0.0,-0.0,0.0,3.923009583078309,2.21460218399582,170.0416,5.664399999999951,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.8,0.0,1.726767048811865e-14,0.0,-0.0,0.0,3.923009583078309,2.2778765321099863,170.0416,5.664399999999917,0.040401000000000006,649.0837074276884,824.8301084276883
3.1,1.85,0.0,6.362151479347273e-15,0.0,-0.0,0.0,3.923009583078309,2.3411508802241525,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.9,0.0,1.4223872947815224e-14,0.0,-0.0,0.0,3.923009583078309,2.4044252283383187,170.0416,5.664399999999932,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,1.9500000000000002,0.0,3.1922365766985566e-15,0.0,0.0,0.0,3.923009583078309,2.467699576452485,170.0416,5.664399999999985,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,2.0,0.0,6.3611093629270335e-15,0.0,-0.0,0.0,3.923009583078309,2.530973924566651,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,2.05,0.0,1.5285225638681477e-14,0.0,-0.0,0.0,3.923009583078309,2.5942482726808174,170.0416,5.664399999999928,0.040401000000000006,649.0837074276884,824.8301084276883
3.1,2.1,0.0,6.3611093629270335e-15,0.0,0.0,0.0,3.923009583078309,2.6575226207949836,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,2.1500000000000004,0.0,6.3611093629270335e-15,0.0,0.0,0.0,3.923009583078309,2.7207969689091507,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
3.1,2.2,0.0,6.361109362927033e-15,0.0,0.0,0.0,3.923009583078309,2.784071317023317,170.0416,5.6643999999999695,0.040401000000000006,649.0837074276884,824.8301084276884
