N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,nonorth_mean,nonorth_std,p3_gap_mean,p3_gap_std
3,-12,0.0,0.0003,2.5995552407103517,0.000621416133144898,3.0,0.0,1.1644546823036301,0.000274703267685779,0.1074897294593273,0.00016359689923681824,,
3,-12,0.0,0.001,2.599705561709551,0.0023257244352422038,3.0,0.0,1.1643647858081458,0.001085880480937241,0.10744002886159834,0.0006460418229653398,,
3,-12,0.0,0.003,2.6016591669949527,0.006938219326999399,3.0,0.0,1.1637325634936926,0.0028533825982920043,0.10708356296190102,0.0017376012502407314,,
3,-12,0.0,0.01,2.6009883012536807,0.01625895262049189,3.0,0.0,1.1647556901471812,0.007167047443498131,0.10791724373207008,0.004282133723955043,,
3,-12,0.03,0.0,2.582465796992007,0.0,3.0,0.0,1.1731945700472746,0.0,0.11275213370091823,0.0,,
3,-12,0.03,0.0001,2.5825249910356343,0.00019297253057935023,3.0,0.0,1.173168952710284,9.144549607093822e-05,0.11273715599248915,5.466117962925266e-05,,
3,-12,0.03,0.0003,2.582483426720734,0.000570957728919564,3.0,0.0,1.1732018138085476,0.00025581461065670493,0.11275526099881188,0.00015217105912797123,,
3,-12,0.03,0.001,2.582293215804452,0.002119308689157238,3.0,0.0,1.1733087716280206,0.0008778610439836557,0.11283129432237957,0.000523655561233118,,
3,-12,0.03,0.003,2.5820541813942475,0.006337008398132366,3.0,0.0,1.1732379720624766,0.0027254884701516037,0.11278363853658582,0.001621130619526011,,
3,-12,0.03,0.01,2.5818637829271696,0.016565481948458905,3.0,0.0,1.17402228234691,0.00850780539118429,0.11336840098589118,0.005066301031957097,,
3,-12,0.07,0.0,2.5374223451538813,0.0,3.0,0.0,1.2025629408612368,0.0,0.12992132278594412,0.0,,
3,-12,0.07,0.0001,2.537418971454062,0.0002258279624178236,3.0,0.0,1.2025603803369258,0.00010908870439504422,0.129920838027525,6.409256591856133e-05,,
3,-12,0.07,0.0003,2.5373357564250476,0.0006802937961161286,3.0,0.0,1.2026017214295361,0.0003289305782456241,0.1299454536191414,0.00019241177725047687,,
3,-12,0.07,0.001,2.5376875159025,0.0020715527748248054,3.0,0.0,1.202586535806327,0.0010247391737314474,0.1299269057191315,0.0006013891862854802,,
3,-12,0.07,0.003,2.537355812835499,0.0066987383623898136,3.0,0.0,1.2024492684576842,0.0034207240376923687,0.12983465477799386,0.001982499548051992,,
3,-12,0.07,0.01,2.5398385510865005,0.02470828764312868,3.0,0.0,1.2033193243326312,0.010372953068252368,0.13065513527876876,0.0059973208244670775,,
3,-12,0.1,0.0,2.4944857625889627,0.0,3.0,0.0,1.2349108509908895,0.0,0.1483770706753876,0.0,,
3,-12,0.1,0.0001,2.4945438163302827,0.00017244526287061557,3.0,0.0,1.2348888922065655,8.186924342757154e-05,0.14836418373299662,4.5671839230763344e-05,,
3,-12,0.1,0.0003,2.49440896933166,0.0006813947406381401,3.0,0.0,1.2349989518046678,0.0003100720283513014,0.14842817106569356,0.00017324565731917813,,
3,-12,0.1,0.001,2.4945859422104406,0.0021081388950833753,3.0,0.0,1.2349633172850574,0.0011908991368915233,0.14840641824859183,0.000666128693764218,,
3,-12,0.1,0.003,2.493348051817166,0.005577296673580234,3.0,0.0,1.2352828598626389,0.0028193090530320443,0.14858080161411263,0.001582124690660488,,
3,-12,0.1,0.01,2.4949592688904274,0.017007903045041173,3.0,0.0,1.234704239397956,0.009085146290608798,0.148512095561729,0.005063070342355106,,
3,-10,-0.1,0.0,2.0433157989840076,0.0,3.0,0.0,1.8836562149808238,2.220446049250313e-16,0.4282074474724674,5.551115123125783e-17,,
3,-10,-0.1,0.0001,2.0433346120105944,0.00016238846556227988,3.0,0.0,1.88362502056791,0.00022458499383966297,0.4281997574891577,7.097928293095048e-05,,
3,-10,-0.1,0.0003,2.043405949881834,0.0003744853171468196,3.0,0.0,1.8836415277573892,0.0005747441772496676,0.42820495958816396,0.00016989900514191223,,
3,-10,-0.1,0.001,2.043307075710325,0.001233202562143854,3.0,0.0,1.883561581033082,0.0019070297263358532,0.42816895701044666,0.0005749218217983804,,
3,-10,-0.1,0.003,2.043575066498981,0.0039553439784363745,3.0,0.0,1.8835615044789236,0.006071389908377544,0.42827835146770016,0.0017813131630392417,,
3,-10,-0.1,0.01,2.0397094324377756,0.012350815327283264,3.0,0.0,1.8844896537788713,0.0211851301353098,0.4283619752062209,0.006395867245965771,,
3,-10,-0.07,0.0,2.095625963378433,0.0,3.0,0.0,1.843764211219528,0.0,0.4173072155514278,5.551115123125783e-17,,
3,-10,-0.07,0.0001,2.0956297859330113,0.00015274641272563564,3.0,0.0,1.843758593896046,0.00018969430587934224,0.4173101290259501,5.9015529238576286e-05,,
3,-10,-0.07,0.0003,2.0956749052008874,0.0004334299374634741,3.0,0.0,1.8437318487132177,0.0005964707777253771,0.4173062312914707,0.00018277216596891718,,
3,-10,-0.07,0.001,2.095751713685646,0.0011057976370356703,3.0,0.0,1.8437676270148753,0.0016357418844928215,0.4173221441144504,0.0005324064517733116,,
3,-10,-0.07,0.003,2.095268353760388,0.004116848142778679,3.0,0.0,1.8434844724462476,0.0052470930627491405,0.41725023489769625,0.001603345689964639,,
3,-10,-0.07,0.01,2.0924114734963606,0.014637701116723235,3.0,0.0,1.8459865516153056,0.0198245050585245,0.4180938544013445,0.006497514254204447,,
