N_gen,winding,asym,noise_strength,T_STEPS,N_MONTE,kappa0,tau_decoh_mean,tau_decoh_std,final_survival_mean,final_survival_std
4,10,0.1,0.001,300,30,2.225655198063771,301.0,0.0,0.9904303582615029,0.005647485259498792
4,12,-0.1,0.001,300,30,1.255459009869577,301.0,0.0,0.9725448432065033,0.013803770092683356
4,12,-0.07,0.001,300,30,1.238496629083364,301.0,0.0,0.9693741749421202,0.020242736905974067
4,12,-0.03,0.001,300,30,1.2318231061884155,299.3,9.154780172128657,0.9034073508459656,0.12090974314016122
4,12,0.0,0.001,300,30,1.2398636265399288,267.1,74.07804443063185,0.6929810610328045,0.15928433015901933
4,12,0.03,0.001,300,30,1.2610087468530127,300.26666666666665,3.9491208585653035,0.8516687340231864,0.1475991275405918
4,12,0.07,0.001,300,30,1.308485924708494,301.0,0.0,0.9608040420282057,0.035589847743835105
4,12,0.1,0.001,300,30,1.3556343113136478,301.0,0.0,0.9732715146334748,0.018218463083480796
5,-12,-0.1,0.001,300,30,1.2591347274050626,301.0,0.0,0.9286365634385285,0.05174200720407601
5,-12,-0.07,0.001,300,30,1.2418937637299214,301.0,0.0,0.9319749439330007,0.04102393353880725
5,-12,-0.03,0.001,300,30,1.2333019343001035,301.0,0.0,0.8122092836357896,0.12390333758943063
5,-12,0.0,0.001,300,30,1.24070249786164,286.3333333333333,51.0981626110198,0.5744858552906098,0.11690313808121755
5,-12,0.03,0.001,300,30,1.263324391262861,290.5,39.29779467943038,0.7610857857728305,0.13625174340060595
5,-12,0.07,0.001,300,30,1.3170850029357548,301.0,0.0,0.8741045254440415,0.10474540316024565
5,-12,0.1,0.001,300,30,1.3716416680570218,301.0,0.0,0.9048580761907649,0.07503608536401203
5,-10,-0.1,0.001,300,30,3.2585953775082026,301.0,0.0,0.9710077373159115,0.018363265100676582
5,-10,-0.07,0.001,300,30,3.1565632423479104,301.0,0.0,0.9410104064437211,0.051510176172374564
5,-10,-0.03,0.001,300,30,3.058622576973769,301.0,0.0,0.9124436104117835,0.06491294171026618
5,-10,0.0,0.001,300,30,3.033249914514669,301.0,0.0,0.9378952409488598,0.05399443948775028
5,-10,0.03,0.001,300,30,3.0236486577114556,301.0,0.0,0.9455188208872963,0.027266005270714655
5,-10,0.07,0.001,300,30,3.022030277352075,301.0,0.0,0.9565617405597475,0.026110387319768245
5,-10,0.1,0.001,300,30,3.0270945348068086,301.0,0.0,0.9629402270208066,0.029578934828382943
5,-8,-0.1,0.001,300,30,21.03901502266123,301.0,0.0,0.9877278547699145,0.008118663261529047
5,-8,-0.07,0.001,300,30,20.47050179558629,301.0,0.0,0.9870729773319875,0.008297975162098594
5,-8,-0.03,0.001,300,30,19.876126523556774,301.0,0.0,0.9720194897552346,0.025858951132406157
5,-8,0.0,0.001,300,30,19.62107181459661,301.0,0.0,0.9415573130805637,0.06930467351354896
5,-8,0.03,0.001,300,30,19.523849205060937,301.0,0.0,0.9759821470739708,0.018547517677742566
5,-8,0.07,0.001,300,30,19.546270618483465,301.0,0.0,0.9908949984377564,0.005069519325602754
5,-8,0.1,0.001,300,30,19.62669462334239,301.0,0.0,0.9933611527228864,0.00436011476187311
5,-6,-0.1,0.001,300,30,130.80306204037865,301.0,0.0,0.9993209331368003,0.000660146501734336
5,-6,-0.07,0.001,300,30,127.42048651044361,301.0,0.0,0.9993576072408056,0.00042894544355946793
5,-6,-0.03,0.001,300,30,123.64454878243569,301.0,0.0,0.9983772122963589,0.0016933797398526282
5,-6,0.0,0.001,300,30,121.658978501674,301.0,0.0,0.9987739019279209,0.0009577046211097389
5,-6,0.03,0.001,300,30,120.48090401739432,301.0,0.0,0.998567436299566,0.0009305163624325086
5,-6,0.07,0.001,300,30,119.80129681045281,301.0,0.0,0.9992497630236881,0.0004962915998062875
5,-6,0.1,0.001,300,30,119.66270637966973,301.0,0.0,0.9994121683230219,0.0003756013725745991
5,6,-0.1,0.001,300,30,130.80306204037865,301.0,0.0,0.9991540427017538,0.0008545581862879374
5,6,-0.07,0.001,300,30,127.42048651044361,301.0,0.0,0.9985462267737976,0.0013397239659910952
5,6,-0.03,0.001,300,30,123.64454878243569,301.0,0.0,0.9984489281139136,0.00107742308747328
5,6,0.0,0.001,300,30,121.658978501674,301.0,0.0,0.9984071627034155,0.0014373038821558185
5,6,0.03,0.001,300,30,120.48090401739432,301.0,0.0,0.9983808981025687,0.0015243886656794417
5,6,0.07,0.001,300,30,119.80129681045281,301.0,0.0,0.999116520928086,0.0005541352113635772
5,6,0.1,0.001,300,30,119.66270637966973,301.0,0.0,0.9994661306531581,0.00029801216731354177
5,8,-0.1,0.001,300,30,21.03901502266123,301.0,0.0,0.9903072346361095,0.010801274994159797
5,8,-0.07,0.001,300,30,20.47050179558629,301.0,0.0,0.985466693893103,0.01014072542470418
5,8,-0.03,0.001,300,30,19.876126523556774,301.0,0.0,0.9750409465812491,0.01920896927666451
5,8,0.0,0.001,300,30,19.62107181459661,299.4,8.616263691415206,0.9195826885672906,0.12898238169444554
5,8,0.03,0.001,300,30,19.523849205060937,301.0,0.0,0.9668888255488348,0.037866818903566246
5,8,0.07,0.001,300,30,19.546270618483465,301.0,0.0,0.9922335506915637,0.00402190313697459
5,8,0.1,0.001,300,30,19.62669462334239,301.0,0.0,0.9952405833980396,0.0031676956399353446
5,10,-0.1,0.001,300,30,3.2585953775082026,301.0,0.0,0.9716158471733997,0.014980324225648923
5,10,-0.07,0.001,300,30,3.1565632423479104,301.0,0.0,0.9558053053260268,0.036423938313356205
5,10,-0.03,0.001,300,30,3.058622576973769,299.1,10.23181313355556,0.8536927825114159,0.1375715863569023
5,10,0.0,0.001,300,30,3.033249914514669,301.0,0.0,0.9385456037828995,0.043921013211223256
5,10,0.03,0.001,300,30,3.0236486577114556,301.0,0.0,0.94041515103716,0.03911899929170075
5,10,0.07,0.001,300,30,3.022030277352075,301.0,0.0,0.9622425000573825,0.02648667838623776
5,10,0.1,0.001,300,30,3.0270945348068086,301.0,0.0,0.9719631609126638,0.019375915091684025
5,12,-0.1,0.001,300,30,1.2591347274050626,301.0,0.0,0.9329988186387513,0.04266884041306263
5,12,-0.07,0.001,300,30,1.2418937637299214,301.0,0.0,0.9369630744869565,0.036468962382260446
5,12,-0.03,0.001,300,30,1.2333019343001035,301.0,0.0,0.8520716051064509,0.09398332761308589
5,12,0.0,0.001,300,30,1.24070249786164,261.5,86.51425701389724,0.5778949034775049,0.1315794563288671
