kappa0,p,cabibbo,eps_cp,a23_r,a23_i,a13,theta12,theta23,theta13,J,absJ,unitarity_defect,raw_leakage,loss
0.42,2.4,0.23,0.015,0.4,0.16,0.2,13.153161265413386,2.3315891858571547,0.20359146470669645,2.013800988302436e-05,2.013800988302436e-05,2.2845804352459633e-16,0.0,0.3467687117929027
0.42,2.4,0.23,0.015,0.36,0.19,0.18,13.15302455831453,2.3747173116915548,0.23001300421175622,2.0398928296767177e-05,2.0398928296767177e-05,4.1373529938834383e-16,0.0,0.34771090166085994
0.42,2.4,0.23,0.015,0.36,0.18,0.3,13.153244632651738,2.3242602201209643,0.24337083739798743,3.2887744780003836e-05,3.2887744780003836e-05,2.5919335419983074e-16,0.0,0.34835485509087416
0.42,2.4,0.23,0.015,0.34,0.19,0.2,13.153221844844225,2.3146927830912594,0.23027007137520164,2.2541168342823242e-05,2.2541168342823242e-05,4.0100498012511403e-16,0.0,0.3502345421477745
0.42,2.4,0.23,0.015,0.4,0.19,0.24,13.152603139320865,2.510636294530285,0.23678265374982999,2.7848672929105256e-05,2.7848672929105256e-05,2.2488454450352323e-16,0.0,0.3504913906612141
0.42,2.4,0.23,0.015,0.36,0.17,0.26,13.15341914800467,2.258501595007226,0.22068754218730557,2.7137274706278552e-05,2.7137274706278552e-05,4.4250284837996366e-16,0.0,0.3508519921119898
0.42,2.4,0.23,0.015,0.42,0.18,0.27999999999999997,13.152575930414606,2.5242626820416887,0.23306281340054863,3.14744360122611e-05,3.14744360122611e-05,2.9766323909872424e-16,0.0,0.3521429651715359
0.42,2.4,0.23,0.015,0.36,0.17,0.27999999999999997,13.153424431055228,2.260782125702838,0.2264808059107913,2.926437007181454e-05,2.926437007181454e-05,4.237149757509932e-16,0.0,0.3530299722121392
0.42,2.4,0.23,0.015,0.4,0.18,0.18,13.152798725330372,2.4436927994631694,0.22446204740071588,1.984258472173192e-05,1.984258472173192e-05,2.6964489481339213e-16,0.0,0.35362757280023704
0.42,2.4,0.23,0.015,0.4,0.19,0.22,13.152601252746283,2.50837945011613,0.23482094628790215,2.5474624792895528e-05,2.5474624792895528e-05,2.300128201327591e-16,0.0,0.36088129325760077
0.42,2.4,0.23,0.015,0.38,0.19,0.18,13.152818141445653,2.438486375374454,0.23201471468927742,2.0563622074167703e-05,2.0563622074167703e-05,2.7929603527137175e-16,0.0,0.3636879813411687
0.42,2.4,0.23,0.015,0.38,0.16,0.24,13.153382383002938,2.2659578411816437,0.20545130890821062,2.40474201896497e-05,2.40474201896497e-05,2.471996170092711e-16,0.0,0.36784060970071264
0.42,2.4,0.23,0.015,0.42,0.16,0.18,13.152934026493377,2.4008418821575197,0.2078634226024467,1.823038704128893e-05,1.823038704128893e-05,3.6201119263256795e-16,0.0,0.37132399487155326
0.42,2.4,0.23,0.015,0.44,0.17,0.3,13.152523585291947,2.54229826373768,0.22640031977896274,3.256270595756658e-05,3.256270595756658e-05,3.649789760281097e-16,0.0,0.37320195951161034
0.42,2.4,0.23,0.015,0.42,0.17,0.18,13.152757729102836,2.4554992333713237,0.21763769917963802,1.911801856026643e-05,1.911801856026643e-05,4.1089517278179863e-16,0.0,0.37351354742840115
0.42,2.4,0.23,0.015,0.32,0.2,0.22,13.153202541752025,2.3248380650662184,0.24401000609495452,2.5723712865043102e-05,2.5723712865043102e-05,2.2490796069935025e-16,0.0,0.373958851843375
0.42,2.4,0.23,0.015,0.4,0.19,0.26,13.152606168450955,2.5128971977713874,0.2398988647084485,3.022271105827465e-05,3.022271105827465e-05,4.480093403253143e-16,0.0,0.37455197323383266
0.42,2.4,0.23,0.015,0.44,0.17,0.22,13.152515863098417,2.532012818935351,0.21787663523423959,2.3705918507671564e-05,2.3705918507671564e-05,2.463339785386244e-16,0.0,0.37560684772028324
0.42,2.4,0.23,0.015,0.36,0.17,0.24,13.153415007581836,2.2562255393501727,0.21603869509602844,2.5010169589358838e-05,2.5010169589358838e-05,5.858655357234967e-16,0.0,0.37931809979850073
0.42,2.4,0.23,0.015,0.34,0.2,0.26,13.153025738230658,2.3872423274492487,0.2528741605730634,3.075630517916303e-05,3.075630517916303e-05,2.500487081373174e-16,0.0,0.383837682842682
0.42,2.4,0.23,0.015,0.45999999999999996,0.16,0.27999999999999997,13.15244237184643,2.561424296065713,0.21225506025780808,2.9219033475868378e-05,2.9219033475868378e-05,2.5383708402699685e-16,0.0,0.3845002504279306
0.42,2.4,0.23,0.015,0.34,0.2,0.18,13.15301157487224,2.3796097210925518,0.23874687567329322,2.1114696765543728e-05,2.1114696765543728e-05,4.185988752798438e-16,0.0,0.3852893114981816
0.42,2.4,0.23,0.015,0.45999999999999996,0.16,0.26,13.152440704928852,2.558709412946564,0.21032063046470126,2.7084781948794046e-05,2.7084781948794046e-05,3.89850035323256e-16,0.0,0.3898399270669188
