loc12,loc23,tail,spread,cyclic,tau_align,ckm12,ckm23,ckm13,pmns12,pmns23,pmns13,score_ckm,score_pmns,score
0.26,0.34,0.06,1.15,0.1,0.1,0.06591400938624543,0.026035771259808587,0.012988933362266824,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1865391527162128,0.439583080281903,0.6261222329981158
0.18,0.1,0.0,1.15,0.1,0.85,0.04374178513509282,0.016931829438658282,0.008068019422869863,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21289440484911876,0.4133567774508578,0.6262511822999766
0.18,0.22,0.03,1.15,0.1,0.85,0.044978739227770695,0.016720984260071032,0.009183680936612149,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.2129839574487704,0.4133567774508578,0.6263407348996282
0.26,0.22,0.06,1.15,0.1,0.1,0.06471087879874043,0.025503631995428044,0.01236188825102702,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.18764737745685856,0.439583080281903,0.6272304577387615
0.26,0.46,0.06,1.15,0.1,0.1,0.06633630400669113,0.025060993843946142,0.014197175689775354,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1882998778391381,0.439583080281903,0.6278829581210411
0.1,0.22,0.06,1.15,0.1,0.85,0.030585066628576654,0.02855415864758961,0.009363619305326584,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.21572439402916033,0.4133567774508578,0.6290811714800182
0.26,0.22,0.0,1.15,0.1,0.1,0.06918421795626344,0.015258926093410454,0.008488605842507898,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.18954546179283405,0.439583080281903,0.629128542074737
0.26,0.1,0.0,1.15,0.1,0.1,0.06740115690543524,0.016420182781036175,0.0079764543816941,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.1896551146952227,0.439583080281903,0.6292381949771257
0.26,0.34,0.0,1.15,0.1,0.1,0.07006507855853998,0.01490844117589225,0.00924784801346166,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.18977432827902943,0.439583080281903,0.6293574085609325
0.34,0.1,0.0,1.15,0.1,0.35,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16117724553827917,0.46894124713668406,0.6301184926749632
0.34,0.22,0.0,1.15,0.1,0.35,0.097747985151935,0.015187488819501173,0.008781855587106925,0.4593733672362983,0.38419433831083505,0.08749104731618257,0.16134638161567075,0.46894124713668406,0.6302876287523548
0.26,0.34,0.06,0.9,0.1,0.6,0.06591400938624543,0.026035771259808587,0.012988933362266824,0.46757649129629886,0.3388616938394139,0.15025777081984806,0.1865391527162128,0.4438195856841353,0.6303587384003482
0.34,0.1,0.0,1.15,0.35,0.1,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16117724553827917,0.46921476453816785,0.6303920100764471
0.18,0.1,0.03,1.15,0.1,0.85,0.042750341006439305,0.014954578814868698,0.009331102902656362,0.4593733672362983,0.44249435985804864,0.08477549545479528,0.2171261830813484,0.4133567774508578,0.6304829605322062
0.34,0.22,0.0,1.15,0.35,0.1,0.097747985151935,0.015187488819501173,0.008781855587106925,0.46821359602608187,0.3336592442893522,0.1710876048536019,0.16134638161567075,0.46921476453816785,0.6305611461538386
0.26,0.46,0.0,1.15,0.1,0.1,0.07015479826436358,0.014741842696771774,0.01041740877944059,0.4593733672362983,0.3602652847806682,0.14077826770113047,0.19102076781830524,0.439583080281903,0.6306038481002083
0.34,0.1,0.0,0.9,0.1,0.85,0.09636396131881927,0.015835020517079065,0.007876227374177508,0.46757649129629886,0.39514465074204214,0.2323259989468429,0.16117724553827917,0.4696048569085019,0.630782102446781
