N_gen,winding,asym,noise,stable_rank_mean,stable_rank_std,surviving_modes_mean,surviving_modes_std,condition_mean,condition_std,unitarity_defect_mean,unitarity_defect_std
1,8,-0.1,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00034364737283086865,0.00022232783962842278
1,8,-0.1,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0013018465255115873,0.0011167901046642234
1,8,-0.1,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0039190066179710815,0.003211652153197469
1,8,-0.1,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.010400389798402394,0.0072245997283183015
1,8,-0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,8,-0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012351836540276607,8.47166020497433e-05
1,8,-0.07,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003494067567123893,0.00029566666874022556
1,8,-0.07,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0010779837764659517,0.000815125027424444
1,8,-0.07,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0032407841176301222,0.0023719801404858696
1,8,-0.07,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.01021910336890413,0.008813959966142367
1,8,-0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,8,-0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011271648525847056,9.26424166614996e-05
1,8,-0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.0003817518991693603,0.0002476254567534912
1,8,-0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0012377266957472543,0.0007729713040397123
1,8,-0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.0032004483698540387,0.0020023295544772776
1,8,-0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.01246498447521794,0.00951680425730014
1,8,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,8,0.0,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00012310985757008064,9.362306340884119e-05
1,8,0.0,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00038974731023935674,0.0002765907990423773
1,8,0.0,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0009693561463718403,0.0006991304671628697
1,8,0.0,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003365504212871244,0.0025696149424673776
1,8,0.0,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011089502980773325,0.007490789678695558
1,8,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1,8,0.03,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011636106032480775,8.252935848152326e-05
1,8,0.03,0.0003,1.0,0.0,1.0,0.0,1.0,0.0,0.00032480442157923673,0.0002378355245425832
1,8,0.03,0.001,1.0,0.0,1.0,0.0,1.0,0.0,0.0011403467685549473,0.0008100957512534642
1,8,0.03,0.003,1.0,0.0,1.0,0.0,1.0,0.0,0.003772019612643973,0.002325002320840818
1,8,0.03,0.01,1.0,0.0,1.0,0.0,1.0,0.0,0.011168104483043886,0.007754837287714828
1,8,0.07,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0
1,8,0.07,0.0001,1.0,0.0,1.0,0.0,1.0,0.0,0.00011866105795990789,8.964659436909682e-05
