winding,asym,noise,theta12,theta23,theta13,J,absJ,unitarity_defect,gap34,loss
-12,0.01999999999999999,0.001,1.3643585424385832e-14,1.1786171962657245e-15,3.197767881727417e-15,-6.842277657836021e-49,6.842277657836021e-49,1.1104581019024785e-15,1.013922018869432,3610.668899999999
-12,0.01999999999999999,0.003,1.4838166581476792e-15,9.278087309633564e-15,2.064555357847323e-15,4.276423536147513e-50,4.276423536147513e-50,1.2622449979890287e-15,1.0151164100530088,3610.668899999999
-12,0.03,0.0,9.562091059880885e-15,8.127833685260204e-15,1.09617938269615e-14,2.7369110631344083e-48,2.7369110631344083e-48,7.022766520222525e-16,1.0200298956486322,3610.6688999999988
-12,0.03,0.0001,2.7514073045625436e-14,1.4930884262576388e-15,5.6688895766261206e-15,-1.3684555315672042e-48,1.3684555315672042e-48,1.196592347839669e-15,1.0201516477302146,3610.668899999998
-12,0.03,0.0003,8.165745343625198e-15,3.12765986927433e-14,1.0263329527916983e-14,6.842277657836021e-49,6.842277657836021e-49,1.8446922016329137e-15,1.0201013617072676,3610.668899999997
-12,0.03,0.001,6.635966443150531e-15,7.503688944815364e-15,1.626818525550483e-14,2.7369110631344083e-48,2.7369110631344083e-48,9.206522517230028e-16,1.019007120406811,3610.6688999999983
-12,0.03,0.003,1.733699937548581e-15,1.227349455179277e-14,5.595037181106371e-15,5.986992950606518e-49,5.986992950606518e-49,1.0487692978146733e-15,1.0218158194135782,3610.6688999999988
-12,0.04000000000000001,0.0,1.1854537441594204e-14,1.192847491122951e-15,1.621682184228058e-14,2.0526832973508063e-48,2.0526832973508063e-48,6.900517753144492e-16,1.025103096277117,3610.668899999999
-12,0.04000000000000001,0.0001,1.2515365725295058e-14,1.9455977373519276e-15,3.594203572224157e-15,4.1053665947016125e-48,4.1053665947016125e-48,6.487385396825911e-16,1.0250871608541838,3610.668899999999
-12,0.04000000000000001,0.0003,6.734339600332905e-15,8.878524621168443e-15,4.59592615167253e-15,-3.4211388289180104e-49,3.4211388289180104e-49,1.0478724080566563e-15,1.0250341815021295,3610.6688999999988
-12,0.04000000000000001,0.001,1.1584359947999586e-14,6.342847177362603e-15,1.0222686181646273e-14,2.7369110631344083e-48,2.7369110631344083e-48,4.696408582291928e-16,1.0261886159216862,3610.6688999999983
-12,0.04000000000000001,0.003,7.014151188196578e-15,8.671375008148825e-15,1.4468346949969256e-14,-2.0526832973508063e-48,2.0526832973508063e-48,1.872122890238504e-15,1.02571062318074,3610.6688999999988
-12,0.04999999999999999,0.0,1.0132114108378133e-14,2.301626826932086e-15,2.4278174560949197e-14,-1.3684555315672042e-47,1.3684555315672042e-47,6.853220156054053e-16,1.0294942605299828,3610.668899999999
-12,0.04999999999999999,0.0001,6.0127420449718846e-15,3.063661598338139e-15,2.114914270688685e-14,1.7105694144590052e-48,1.7105694144590052e-48,9.66961127814526e-16,1.0294236798077987,3610.668899999999
-12,0.04999999999999999,0.0003,1.2294746413270842e-14,1.132052788660708e-15,1.891692448496837e-15,-4.9725277361360646e-49,4.9725277361360646e-49,9.951591537870764e-16,1.0295307028680578,3610.668899999999
-12,0.04999999999999999,0.001,1.4387236547419036e-14,1.0535105621952605e-14,4.9666556915789825e-15,0.0,0.0,8.794363690840154e-16,1.0290890525146927,3610.6688999999983
-12,0.04999999999999999,0.003,7.748450348587568e-15,1.0664067989246408e-14,3.780662635670019e-15,-6.842277657836021e-49,6.842277657836021e-49,5.59855054786257e-16,1.0277788501573744,3610.6688999999983
-12,0.06,0.0,1.751633690525464e-14,8.264656329901655e-15,3.7811537551411974e-14,0.0,0.0,7.484624191357157e-16,1.0332349830373775,3610.668899999998
-12,0.06,0.0001,1.0868169795776439e-14,1.748207947663241e-14,5.2037213733644245e-15,0.0,0.0,1.0365286452178212e-15,1.033142776520477,3610.668899999998
-12,0.06,0.0003,6.311808420644816e-15,6.836706935190783e-15,4.863968822335586e-15,1.3684555315672042e-48,1.3684555315672042e-48,5.926266140297619e-16,1.033470439563926,3610.6688999999988
-12,0.06,0.001,2.6667295974308065e-14,3.682956394248091e-15,7.702828510161117e-15,-2.7369110631344083e-48,2.7369110631344083e-48,5.147481070078083e-16,1.0332360919582124,3610.668899999997
-12,0.06,0.003,1.2424086809719757e-14,2.10402094449163e-15,4.953807821515119e-15,-2.7369110631344083e-48,2.7369110631344083e-48,6.319168201643368e-16,1.0344996200991976,3610.668899999999
-12,0.07,0.0,9.520334583592365e-15,1.7876753480480343e-14,2.249679964196985e-14,-3.4211388289180104e-48,3.4211388289180104e-48,1.3765613597633281e-15,1.0364023281200971,3610.668899999997
-12,0.07,0.0001,1.2605508706843683e-14,9.303183263698391e-15,1.0464296652313855e-14,-1.3684555315672042e-48,1.3684555315672042e-48,9.502249226794217e-16,1.0363605455512566,3610.6688999999983
-12,0.07,0.0003,3.59099821992689e-15,5.22814493268658e-15,3.756567975270928e-15,0.0,0.0,4.739269287049974e-16,1.0365401524400715,3610.6688999999988
-12,0.07,0.001,4.201173194763908e-15,2.8526773331453913e-15,1.3548376456571781e-14,8.552847072295026e-50,8.552847072295026e-50,9.472746514096775e-16,1.03603629987117,3610.6688999999997
-12,0.07,0.003,1.2781611975120702e-14,2.5253611908665663e-15,1.5223470573690886e-14,0.0,0.0,6.285670132031293e-16,1.035585425552519,3610.668899999999
-12,0.07999999999999999,0.0,7.429250031334955e-15,1.994977415672787e-15,2.9488529958776378e-15,-6.842277657836021e-49,6.842277657836021e-49,6.280869261218468e-16,1.039106764979826,3610.6688999999997
-12,0.07999999999999999,0.0001,1.2928152507762339e-14,4.59871108057997e-15,1.87784545479678e-14,8.210733189403225e-48,8.210733189403225e-48,9.011370115239389e-16,1.039039320516938,3610.668899999998
-12,0.07999999999999999,0.0003,4.914549602033228e-16,1.23037429692121e-15,1.078964713750508e-14,-3.848781182532762e-49,3.848781182532762e-49,4.2357856119577107e-16,1.0389683993938847,3610.6689
-12,0.07999999999999999,0.001,5.0105547851360336e-15,1.7208231494185842e-14,3.741822155845171e-15,0.0,0.0,1.0092317265613245e-15,1.0386118699790807,3610.6688999999983
-12,0.07999999999999999,0.003,6.589015174879403e-15,1.2772537875439424e-14,9.029061379013685e-15,-2.0526832973508063e-48,2.0526832973508063e-48,6.613812283314642e-16,1.039901232025788,3610.6688999999983
-12,0.09,0.0,8.65582386639666e-15,3.202339390967648e-15,1.4916172179863757e-14,1.3684555315672042e-48,1.3684555315672042e-48,8.336932871990481e-16,1.041475660045659,3610.6688999999997
-12,0.09,0.0001,1.7436718530996797e-14,1.383768031002763e-14,1.1101628490127811e-14,1.3684555315672042e-48,1.3684555315672042e-48,1.0322080585818527e-15,1.0414551776484997,3610.668899999998
-12,0.09,0.0003,5.375243390246008e-15,1.7348331744563185e-14,2.0878608452495254e-14,-4.4474804775934136e-48,4.4474804775934136e-48,6.678916481297302e-16,1.0417529990262449,3610.668899999998
-12,0.09,0.001,1.211716134875491e-14,1.1170510511211169e-14,7.897904059212512e-15,-5.473822126268817e-48,5.473822126268817e-48,5.537993322993937e-16,1.0409692264517674,3610.668899999998
-12,0.09,0.003,4.905880875737634e-15,7.764705129208809e-15,1.2961185008522921e-14,1.8816263559049057e-48,1.8816263559049057e-48,7.075703547298234e-16,1.0392278691618708,3610.6688999999988
-12,0.1,0.0,1.2836506379079866e-14,7.009332989164667e-15,1.9327993829928253e-14,-6.842277657836021e-48,6.842277657836021e-48,9.30186200861771e-16,1.0436355298146363,3610.668899999998
-12,0.1,0.0001,1.5164322795490562e-14,1.104152098551081e-15,1.9315018144561715e-14,0.0,0.0,5.344362609345408e-16,1.0435869336808699,3610.6688999999988
-12,0.1,0.0003,1.619452628395073e-14,4.865144725009965e-15,4.973883619535477e-15,0.0,0.0,4.663400875983464e-16,1.0436069601725533,3610.6688999999983
-12,0.1,0.001,5.354911157519758e-15,1.9457952083659778e-14,2.275559480641154e-14,-1.0605530369645832e-47,1.0605530369645832e-47,1.944846717873645e-15,1.0441880382259707,3610.668899999997
-12,0.1,0.003,2.1135167379197184e-14,1.4670970789748706e-15,1.2433692514090802e-14,-5.473822126268817e-48,5.473822126268817e-48,4.89359465482326e-16,1.0410294716110762,3610.6688999999988
-10,-0.1,0.0,1.0785967702074675e-14,6.603293365384781e-15,5.047003736168056e-15,0.0,0.0,7.240456415824594e-16,1.0635732977383383,3610.6688999999983
-10,-0.1,0.0001,1.0042677581164731e-14,6.957130548392703e-15,4.1405720384100475e-15,2.7369110631344083e-48,2.7369110631344083e-48,6.479590950548719e-16,1.0636049489822583,3610.6688999999988
